inst,pin,x,y,dist_left,dist_right,dist_bottom,dist_top
P1.IR[25]$_DFF_PP0_,Q,518.06256,253.21877,518.0625610351562,353.93743896484375,253.21876525878906,613.9687347412109
_07831_,B,519.38544,268.04166,519.3854370117188,352.61456298828125,268.0416564941406,599.1458435058594
_07726_,A,501.33752,100.17709,501.3375244140625,370.6624755859375,100.17709350585938,767.0104064941406
_07712_,A,518.63544,93.52501,518.6354370117188,353.36456298828125,93.52500915527344,773.6624908447266
_07653_,A,518.48334,273.64584,518.4833374023438,353.51666259765625,273.6458435058594,593.5416564941406
_07628_,A,510.50003,204.44794,510.5000305175781,361.4999694824219,204.44793701171875,662.7395629882812
_07530_,A,515.6042,273.77084,515.6041870117188,356.39581298828125,273.7708435058594,593.4166564941406
P1.IR[26]$_DFF_PP0_,Q,505.06253,204.65627,505.0625305175781,366.9374694824219,204.65626525878906,662.5312347412109
_08243_,A2,512.85834,219.4271,512.8583374023438,359.14166259765625,219.42709350585938,647.7604064941406
_07831_,A,517.69165,266.46875,517.691650390625,354.308349609375,266.46875,600.71875
_07652_,C,528.7229,225.26044,528.722900390625,343.277099609375,225.26043701171875,641.9270629882812
_07630_,C,526.4375,225.20834,526.4375,345.5625,225.20834350585938,641.9791564941406
_07533_,A,517.5,204.44794,517.5,354.5,204.44793701171875,662.7395629882812
P1.IR[27]$_DFF_PP0_,Q,507.06253,190.78127,507.0625305175781,364.9374694824219,190.78126525878906,676.4062347412109
_08369_,A,525.63544,183.71251,525.6354370117188,346.36456298828125,183.71250915527344,683.4749908447266
_08243_,A1,511.56253,217.90627,511.5625305175781,360.4374694824219,217.90626525878906,649.2812347412109
_08228_,A,507.50003,183.63544,507.5000305175781,364.4999694824219,183.63543701171875,683.5520629882812
_07833_,A,508.33337,169.5521,508.3333740234375,363.6666259765625,169.55209350585938,697.6354064941406
_07652_,B,530.23956,225.26044,530.2395629882812,341.76043701171875,225.26043701171875,641.9270629882812
_07630_,B,525.275,225.20834,525.2750244140625,346.7249755859375,225.20834350585938,641.9791564941406
P1.IR[28]$_DFF_PP0_,Q,506.06253,176.90627,506.0625305175781,365.9374694824219,176.90626525878906,690.2812347412109
_08244_,A,519.5,225.26044,519.5,352.5,225.26043701171875,641.9270629882812
_07652_,A,531.4375,225.26044,531.4375,340.5625,225.26043701171875,641.9270629882812
_07630_,A,523.48334,225.08334,523.4833374023438,348.51666259765625,225.08334350585938,642.1041564941406
P1.IR[29]$_DFF_PP0_,Q,526.06256,211.59377,526.0625610351562,345.93743896484375,211.59376525878906,655.5937347412109
_07480_,B,523.5979,600.0521,523.597900390625,348.402099609375,600.0521240234375,267.1353759765625
_07504_,B,510.44794,593.0209,510.44793701171875,361.55206298828125,593.0208740234375,274.1666259765625
_07517_,B,529.125,592.948,529.125,342.875,592.947998046875,274.239501953125
_07526_,B,516.38544,587.1667,516.3854370117188,355.61456298828125,587.1666870117188,280.02081298828125
_07535_,A,518.5,620.698,518.5,353.5,620.697998046875,246.489501953125
_07536_,A1,510.56253,613.3438,510.5625305175781,361.4374694824219,613.3438110351562,253.84368896484375
_07610_,S,514.7021,592.84796,514.7020874023438,357.29791259765625,592.8479614257812,274.33953857421875
_07613_,B,533.3958,606.7709,533.3958129882812,338.60418701171875,606.7708740234375,260.4166259765625
P1.IR[2]$_DFF_PP0_,Q,527.06256,627.8438,527.0625610351562,344.93743896484375,627.8438110351562,239.34368896484375
_07632_,A,577.5,287.28125,577.5,294.5,287.28125,579.90625
_07650_,A,592.56256,301.52087,592.5625610351562,279.43743896484375,301.5208740234375,565.6666259765625
_07658_,A1,594.81256,287.6979,594.8125610351562,277.18743896484375,287.6979064941406,579.4895935058594
_07662_,A,586.5833,287.64584,586.5833129882812,285.41668701171875,287.6458435058594,579.5416564941406
_07663_,B,593.4584,272.6354,593.4583740234375,278.5416259765625,272.6354064941406,594.5520935058594
_07665_,A,606.43756,315.03128,606.4375610351562,265.56243896484375,315.0312805175781,552.1562194824219
_07669_,B,606.2751,280.70834,606.2750854492188,265.72491455078125,280.7083435058594,586.4791564941406
_07681_,B,583.275,315.39587,583.2750244140625,288.7249755859375,315.3958740234375,551.7916259765625
_07684_,A,598.4834,315.27087,598.4833984375,273.5166015625,315.2708740234375,551.9166259765625
_08310_,A,607.4834,315.27087,607.4833984375,264.5166015625,315.2708740234375,551.9166259765625
P1.IR[30]$_DFF_PP0_,Q,587.0625,280.96875,587.0625,284.9375,280.96875,586.21875
place253,A,502.07712,322.48962,502.0771179199219,369.9228820800781,322.4896240234375,544.6978759765625
_07513_,B1,500.00003,273.8229,500.0000305175781,371.9999694824219,273.8229064941406,593.3645935058594
_07521_,B1,494.56253,280.34375,494.5625305175781,377.4374694824219,280.34375,586.84375
_07524_,B1,498.00003,266.8854,498.0000305175781,373.9999694824219,266.8854064941406,600.3020935058594
_07532_,A,519.4375,217.90627,519.4375,352.5625,217.90626525878906,649.2812347412109
